category,title,subtitle,url
Zacc,Művészlelkek és extrém sportolók is indulnak idén Rogán Cecília szépségversenyén,,/zacc/2024/05/29/miss-world-hungary-szepsegverseny
Gazdaság,Szijjártó Péter felesége 525 milliós osztalékot vett ki a cégéből,,/gazdasag/2024/05/31/szijjarto-peter-feleseg-osztalek-interior-design-kft
Belföld,"A Kaáli Intézet alapítója kritizálta, hogy nem születik több gyerek lombikprogram keretében, pedig már öt éve államosították az ágazatot",,/belfold/2024/06/01/kaali-geza-intezet-allamositott-lombikprogram-eredmenyek-humanreprodukcios-igazgatosag-vesztergom-dora
Belföld,Dobrev: Orbán Viktor a magyarok pénzéből finanszírozza Putyin ukrajnai háborúját,,/belfold/2024/06/01/dobrev-donath-ungar-reakcio-orban-beszed
Gazdaság,"Durva veszteséget hozott össze az Aldi és a Spar, a Penny viszont váratlanul fordítani tudott",,/gazdasag/2024/06/01/spar-aldi-penny-kiskereskedelem-veszteseg
Belföld,"Karácsony az elmúlt 14 évet, Vitézy a kampányígéreteket kérte számon a Partizán vitájában",,/belfold/2024/05/31/fopolgarmesterjeloltek-vita-karacsony-gergely-vitezy-david-onkormanyzati-valasztas-2024
Sport,Valter Attila a Telex filmpremierjén: Egy kiló cukrot bevittem a Giro legnehezebb szakaszán,,/sport/2024/05/31/valter-attila-film-premier-mozi-telex
Közlemény,"Akkor is kérdezünk, ha rendőrt hívnak ránk",,/kozlemeny/2024/05/31/onkormanyzati-es-ep-valasztas-cikkek-videok-valasztasi-musor
Közlemény,"Tartsd fenn te is, legyen mindenkié!",,/kozlemeny/2024/05/06/tartsd-fenn-te-is-legyen-mindenkie
Közlemény,Itt a Telex hetedik átláthatósági jelentése,,/kozlemeny/2024/05/31/itt-a-telex-hetedik-atlathatosagi-jelentese
Belföld,Ez nem vita volt,"Deutsch Tamás meglepően fegyelmezett volt, Márki-Zay lubickolt, Magyar Péter viszont kissé beleszürkült a mezőnybe. De az egésznek semmi jelentősége, mert ahogy az MKKP-s Tóth Imre rámutatott: ez az egész csak egy vicc.",/belfold/2024/05/31/valasztasi-vita-kozteve-dk-deutsch-tamas-magyar-peter-dobrev-klara
Gasztro,"Nem krumpli, és nem is kenyér kell a tökéletes kovászos uborkához",,/gasztro/2021/07/17/nem-krumpli-es-nem-is-kenyer-kell-a-tokeletes-kovaszos-uborkahoz
Gasztro,"A paprikás krumpli lelke a tökéletes szaft, de mitől lesz az?",,/gasztro/2021/08/27/a-paprikas-krumpli-lelke-a-tokeletes-szaft-de-mitol-lesz-az
Gasztro,Így készül nyári pite bármilyen gyümölcsből,,/gasztro/2022/07/13/igy-keszul-nyari-pite-barmilyen-gyumolcsbol
Szépkilátás,Egy lánc az út a víz felett a Pádis legvadabb szurdokában,"Sziklaszoros, jégbarlang, vízesés és zuhatag: kiakadt a kanyonméter a Bihar-hegység egyik legnehezebb túraútján.",/szepkilatas/2024/05/30/padis-fennsik-galbina-szurdok-bihar-hegyseg-romania-erdely-tura
Szépkilátás,"Rám-kör: a túra a Visegrádi-hegységben, amivel nem lehet befürödni",,/szepkilatas/2021/06/05/ram-kor-visegradi-hegyseg-tura
Szépkilátás,Az osztrák Fujiról az osztrák Grand Canyonba: az Ötscher-kör,,/szepkilatas/2021/06/19/az-osztrak-fujirol-az-osztrak-grand-canyonba-az-otscher-kor
Szépkilátás,"Kvargli, sör, vízhólyag: a legnépszerűbb cseh teljesítménytúrán jártunk",,/szepkilatas/2022/05/28/kvargli-sor-vizholyag-a-legnepszerubb-cseh-teljesitmenyturan-jartunk
g7,Lehet ma is 286 forint vagy akár még kevesebb egy euró,"Szolgáltatások és áruk értékesítésekor nincs akadálya annak, hogy tetszőleges euróárfolyammal számoljon az eladó.",https://g7.hu/vallalat/20240602/lehet-ma-is-286-forint-vagy-akar-meg-kevesebb-egy-euro/
g7,Így gyorsan összejön a következő 1000 milliárd is Mészáros Lőrincnek,A felcsúti milliárdos egyik építőipari cége fizikai alkalmazottak nélkül hozott össze közel 51 milliárdos profitot.,https://g7.hu/kozelet/20240531/igy-gyorsan-osszejon-a-kovetkezo-1000-milliard-is-meszaros-lorincnek/
g7,Továbbra is rejtélyes forrásból ömlenek a milliárdok Orbán Viktor vejéhez,"A BDPST Zrt. – épp a kormányfő születésnapján közzétett – beszámolója szerint a vállalat 2023-ban is masszív, 8,8 milliárdos nyereséget termelt.",https://g7.hu/kozelet/20240531/tovabbra-is-rejtelyes-forrasbol-omlenek-a-milliardok-orban-viktor-vejehez/
g7,Mennyire lesz nehéz dolga a magyar uniós elnökségnek az idei klímakonferencián?,,https://g7.hu/vilag/20240601/hamarosan-eldol-mennyire-lesz-nehez-dolga-a-magyar-unios-elnoksegnek-az-idei-klimakonferencian/
g7,"Éjjel nem süt a nap, az akkuk fejlődése mégis elhozta az esti napenergiát",,https://g7.hu/vilag/20240531/ejjel-nem-sut-a-nap-az-akkuk-fejlodese-megis-elhozta-az-esti-napenergiat/
g7,Milliárdos állami ingatlanbiznisszel kerülte el a veszteséget a TV2,,https://g7.hu/kozelet/20240531/milliardos-allami-ingatlanbiznisszel-kerulte-el-a-veszteseget-a-tv2/
otp otthon,Csodálatos panorámák és álomotthonok a Visegrádi-hegységben,"Ha túrázni van kedved, elindulhatsz azoknak a nyomán, akik kék színnel jelölték annak idején.",https://www.otpotthon.hu/hello-otthon/csodalatos-panorama-es-nagyszeru-ingatlanok-a-visegradi-hegysegben-clwrp8e50flgm08w5znll2hkw?utm_source=telex&utm_medium=doboz&utm_campaign=content&utm_content=panorama_visegrad
